user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
spencerx,6524904798586672143,6827250974382509318,Beatbox sounds or real sounds? 🤯😱 @joeyklaasen,1589593242,10,https://www.tiktok.com/@spencerx/video/6827250974382509318?lang=en,9400000,35600,17400,76200000
dreamteamtoyadventures,257756904830193664,6827035208542342405,Do you like it?! #disney #starwars #dontbeugly #iphone #popsocket #toys #toysoftiktok #fyp,1589543003,10,https://www.tiktok.com/@dreamteamtoyadventures/video/6827035208542342405?lang=en,20200,40,125,263900
reppnforchrist,6819434053655151621,6851554254432357637,BREAKING NEWS! #greeenscreenvideo #reppnforchrist #fyp #foryou #jesus #real #life #news #story #doctor #nurse #hospital #wow #god #restore #new,1595251790,36,https://www.tiktok.com/@reppnforchrist/video/6851554254432357637?lang=en,341700,31000,2696,1400000
naomiskyex,6653957387689476102,6828296724935707910,i’m gonna redo this #foryoupage #learnontiktok #SoapBop,1589836724,10,https://www.tiktok.com/@naomiskyex/video/6828296724935707910?lang=en,174300,1072,732,1800000
hi.surya,6653485255834091526,6831976162386857222,I can’t stop doing these! #foryou,1590693409,10,https://www.tiktok.com/@hi.surya/video/6831976162386857222?lang=en,164400,417,964,1500000
clubhousenext,6810983408664249350,6830920851953569029,new challenge! 😛 @itsahlyssa @dallascaroline,1590447700,14,https://www.tiktok.com/@clubhousenext/video/6830920851953569029?lang=en,89100,79,171,501200
mare_garcia23,6827231015401489414,6830280303408401670,Jbird being Jbird,1590298564,5,https://www.tiktok.com/@mare_garcia23/video/6830280303408401670?lang=en,30700,823,163,1100000
guapdad4000,6691747021781238790,6831973505731497222,did i do this right? #foryou,1590692789,15,https://www.tiktok.com/@guapdad4000/video/6831973505731497222?lang=en,482500,1122,5026,6900000
brentrivera,7445731,6848672623732313350,Always being a good big brother 😂 @lexibrookerivera,1594580857,9,https://www.tiktok.com/@brentrivera/video/6848672623732313350?lang=en,3000000,121300,20400,35000000
mascotzoli,6752070026860184581,6849134179947416837,Reposted because TikTok took down the other sound at 13m views😫 #mascotzoli #fyp,1594688323,10,https://www.tiktok.com/@mascotzoli/video/6849134179947416837?lang=en,1800000,102500,26700,19400000
