,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
2808,Utah,49029,6254,0.17,0.79,1060,4957
2809,Utah,49031,871,0.1,0.89,86,773
2810,Utah,49033,1320,0.13,0.85,178,1118
2811,Utah,49035,373403,0.56,0.4,207958,151098
2812,Utah,49037,5243,0.47,0.5,2451,2634
2813,Utah,49039,12133,0.14,0.82,1724,9961
2814,Utah,49041,9731,0.11,0.87,1032,8427
2815,Utah,49043,18130,0.65,0.34,11733,6122
2816,Utah,49045,29770,0.29,0.66,8498,19531
2817,Utah,49047,14796,0.11,0.86,1601,12777
2818,Utah,49049,247656,0.27,0.67,66766,165538
2819,Utah,49051,16456,0.35,0.6,5762,9953
2820,Utah,49053,87914,0.23,0.74,19877,64952
2821,Utah,49055,1596,0.23,0.76,362,1207
2822,Utah,49057,69750,0.41,0.55,28864,38612
2823,Virginia,51001,23603,0.35,0.63,8145,14792
2824,Virginia,51003,64126,0.66,0.32,42078,20684
2825,Virginia,51510,80425,0.81,0.18,65201,14251
2826,Virginia,51005,8152,0.27,0.72,2221,5842
2827,Virginia,51007,7837,0.3,0.69,2390,5370
2828,Virginia,51009,16398,0.33,0.66,5367,10783
2829,Virginia,51011,9215,0.26,0.72,2395,6678
2830,Virginia,51013,125854,0.81,0.17,102510,21598
2831,Virginia,51015,41898,0.26,0.73,10748,30556
2832,Virginia,51017,2513,0.27,0.73,674,1824
2833,Virginia,51019,48041,0.25,0.74,11986,35369
2834,Virginia,51021,3451,0.15,0.84,530,2899
2835,Virginia,51023,20924,0.27,0.72,5637,15033
2836,Virginia,51520,7753,0.29,0.69,2287,5325
2837,Virginia,51025,7906,0.57,0.42,4525,3343
2838,Virginia,51027,9914,0.16,0.83,1582,8277
2839,Virginia,51029,8086,0.43,0.56,3456,4537
2840,Virginia,51530,2812,0.29,0.66,825,1860
2841,Virginia,51031,29475,0.27,0.71,7959,21033
2842,Virginia,51033,16097,0.5,0.48,8081,7761
2843,Virginia,51035,15573,0.18,0.81,2819,12638
2844,Virginia,51036,4414,0.59,0.4,2610,1750
2845,Virginia,51037,6169,0.37,0.62,2309,3801
2846,Virginia,51540,23548,0.86,0.13,20197,3046
2847,Virginia,51550,124426,0.52,0.46,65007,57411
2848,Virginia,51041,212576,0.52,0.46,111094,98541
2849,Virginia,51043,9278,0.42,0.56,3914,5187
2850,Virginia,51570,9098,0.33,0.66,2961,6003
2851,Virginia,51580,2591,0.37,0.61,964,1578
2852,Virginia,51045,3146,0.19,0.8,584,2522
2853,Virginia,51047,26915,0.39,0.59,10509,15929
2854,Virginia,51049,5277,0.42,0.57,2221,3005
2855,Virginia,51590,19154,0.6,0.39,11568,7393
2856,Virginia,51051,7299,0.21,0.79,1501,5746
2857,Virginia,51053,15016,0.41,0.58,6194,8679
2858,Virginia,51595,2378,0.68,0.32,1611,754
2859,Virginia,51057,6157,0.49,0.5,3029,3070
2860,Virginia,51059,578931,0.7,0.28,404886,162312
2861,Virginia,51600,13209,0.68,0.3,9048,3962
2862,Virginia,51610,8660,0.82,0.17,7077,1472
2863,Virginia,51061,43260,0.4,0.58,17362,25133
2864,Virginia,51063,9329,0.32,0.66,2970,6189
2865,Virginia,51065,15620,0.47,0.52,7289,8071
2866,Virginia,51067,29459,0.28,0.71,8312,20797
2867,Virginia,51620,4031,0.62,0.37,2505,1482
2868,Virginia,51069,46918,0.34,0.64,16021,30126
2869,Virginia,51630,12710,0.67,0.32,8454,4016
